"","id","county","tot_pop","non_wa_percentage"
"176","0500000US05129","Searcy County, Arkansas",7927,0.0693831209789327
"177","0500000US05131","Sebastian County, Arkansas",127786,0.30468126398823
"178","0500000US05133","Sevier County, Arkansas",17103,0.427878150032158
"179","0500000US05135","Sharp County, Arkansas",17147,0.0653175482591707
"180","0500000US05137","Stone County, Arkansas",12520,0.054073482428115
"181","0500000US05139","Union County, Arkansas",39460,0.391611758743031
"182","0500000US05141","Van Buren County, Arkansas",16552,0.0652489125181247
"183","0500000US05143","Washington County, Arkansas",232732,0.289680834608047
"184","0500000US05145","White County, Arkansas",78844,0.118537872254071
"185","0500000US05147","Woodruff County, Arkansas",6575,0.302053231939163
"186","0500000US05149","Yell County, Arkansas",21509,0.249058533637082
"187","0500000US06001","Alameda County, California",1660196,0.683855400205759
"188","0500000US06003","Alpine County, California",1111,0.349234923492349
"189","0500000US06005","Amador County, California",38529,0.220742817098809
"190","0500000US06007","Butte County, California",228696,0.277433798579774
"191","0500000US06009","Calaveras County, California",45681,0.187430222630853
"192","0500000US06011","Colusa County, California",21579,0.648315491913434
"193","0500000US06013","Contra Costa County, California",1145535,0.559545539856923
"194","0500000US06015","Del Norte County, California",27351,0.368651968849402
"195","0500000US06017","El Dorado County, California",188679,0.219791285728671
"196","0500000US06019","Fresno County, California",985238,0.704362803708342
"197","0500000US06021","Glenn County, California",27926,0.484852825324071
"198","0500000US06023","Humboldt County, California",136507,0.255518032042313
"199","0500000US06025","Imperial County, California",181649,0.893118046342121
"200","0500000US06027","Inyo County, California",17868,0.37558764271323
"201","0500000US06029","Kern County, California",887356,0.657146624353698
"202","0500000US06031","Kings County, California",149665,0.676691277185715
"203","0500000US06033","Lake County, California",64111,0.294083698585266
"204","0500000US06035","Lassen County, California",30920,0.346507115135834
"205","0500000US06037","Los Angeles County, California",10103711,0.73630312664327
"206","0500000US06039","Madera County, California",155423,0.657270802905619
"207","0500000US06041","Marin County, California",259749,0.280986644799402
"208","0500000US06043","Mariposa County, California",17414,0.196451131273688
"209","0500000US06045","Mendocino County, California",87576,0.347949209829177
"210","0500000US06047","Merced County, California",271096,0.722758727535633
"211","0500000US06049","Modoc County, California",8876,0.220594862550698
"212","0500000US06051","Mono County, California",14354,0.346523617110213
"213","0500000US06053","Monterey County, California",434534,0.700099416846553
"214","0500000US06055","Napa County, California",139878,0.47166816797495
"215","0500000US06057","Nevada County, California",99367,0.14636649994465
"216","0500000US06059","Orange County, California",3174289,0.592662167811437
"217","0500000US06061","Placer County, California",385115,0.271690274333641
"218","0500000US06063","Plumas County, California",18660,0.162593783494105
"219","0500000US06065","Riverside County, California",2414964,0.644613749935817
"220","0500000US06067","Sacramento County, California",1527301,0.550848850357592
"221","0500000US06069","San Benito County, California",60164,0.654228442257829
"222","0500000US06071","San Bernardino County, California",2150945,0.713216284005402
"223","0500000US06073","San Diego County, California",3321237,0.542887183299475
"224","0500000US06075","San Francisco County, California",878040,0.592331784428955
"225","0500000US06077","San Joaquin County, California",743296,0.680533730842087
"226","0500000US06079","San Luis Obispo County, California",282481,0.309801367171597
"227","0500000US06081","San Mateo County, California",768901,0.604490044882241
"228","0500000US06083","Santa Barbara County, California",445298,0.553975090838046
