"","id","county","non_wa_percentage","tot_pop","num_HH","median_HH_income","five_mg_percentage","ten_mg_percentage"
"30","0500000US04025","Yavapai County, Arizona",0.194785208828404,228082,102784,53816,NA,NA
"31","0500000US08001","Adams County, Colorado",0.498085744355527,503590,171977,75804,0.0125,0.00238095238095238
"32","0500000US08005","Arapahoe County, Colorado",0.395510785472894,644478,246302,82710,0.00988421349901158,0.00254165489974583
"33","0500000US08013","Boulder County, Colorado",0.222654687214095,322441,131854,88535,NA,NA
"34","0500000US08014","Broomfield County, Colorado",0.230212560244935,68263,28062,111400,NA,NA
"35","0500000US08031","Denver County, Colorado",0.456403971283518,704961,318445,75646,0.00913317834606443,0.00199269345732315
"36","0500000US08035","Douglas County, Colorado",0.173913690830693,335816,127476,122867,0.0104166666666667,NA
"37","0500000US08041","El Paso County, Colorado",0.306302394375653,700099,265798,72830,0.0146718146718147,NA
"38","0500000US08059","Jefferson County, Colorado",0.217086043686579,575417,236496,90040,0.00597269624573379,0.00255972696245734
"39","0500000US08069","Larimer County, Colorado",0.172123667476546,344084,146638,75186,NA,NA
"40","0500000US08077","Mesa County, Colorado",0.184844876628961,151170,63644,60500,NA,NA
"41","0500000US08101","Pueblo County, Colorado",0.478196809054443,166283,66111,51276,0.0205761316872428,NA
"42","0500000US08123","Weld County, Colorado",0.341680696993968,305885,111298,78615,0.00975134080936129,0.00390053632374451
"43","0500000US09001","Fairfield County, Connecticut",0.377622110667863,943038,340557,97053,0.0173521549500539,0.0050649533367725
"44","0500000US09003","Hartford County, Connecticut",0.386933474866641,893076,353234,75381,0.0174552876094312,0.00580052634405715
"45","0500000US09005","Litchfield County, Connecticut",0.112634655716228,181667,73969,81195,0.0170375521557719,0.00382475660639777
"46","0500000US09007","Middlesex County, Connecticut",0.15899522529489,162942,66884,76518,0.0103434009102193,0.00413736036408771
"47","0500000US09009","New Haven County, Connecticut",0.368590774912911,857748,329006,69751,0.031437125748503,0.00883233532934132
"48","0500000US09011","New London County, Connecticut",0.241355326285716,267419,109752,75633,0.0201646090534979,0.00781893004115226
"49","0500000US09013","Tolland County, Connecticut",0.15234191339589,151009,56749,91028,0.0142296368989205,0.00441609421000981
"50","0500000US09015","Windham County, Connecticut",0.172004673619822,116398,47015,62106,0.0314064633591261,0.00773782430587164
"51","0500000US10001","Kent County, Delaware",0.381854854701726,176499,68023,58001,NA,NA
"52","0500000US10003","New Castle County, Delaware",0.424601061916342,555976,211592,76328,0.0135831381733021,NA
"53","0500000US10005","Sussex County, Delaware",0.247379071799169,224348,96624,65155,0.00770547945205479,NA
"54","0500000US11001","District of Columbia, District of Columbia",0.632471154371958,694906,291570,92266,0.00757775434897206,0.00210859251449657
"55","0500000US12001","Alachua County, Florida",0.387238133146082,266309,103024,49534,0.0263157894736842,NA
"56","0500000US12005","Bay County, Florida",0.237154642300364,184736,69195,59450,0.0231023102310231,NA
"57","0500000US12009","Brevard County, Florida",0.254116838417814,587769,230043,57305,0.00779007790077901,NA
"58","0500000US12011","Broward County, Florida",0.634687952955675,1934516,705472,61502,0.00981850639690568,0.00163641773281761
"59","0500000US12015","Charlotte County, Florida",0.158250790537786,181522,76589,54652,0.011437908496732,NA
"60","0500000US12017","Citrus County, Florida",0.118495340920813,145415,64448,50751,0.0172910662824208,NA
"61","0500000US12019","Clay County, Florida",0.270996287012081,212228,75793,76687,0.0110253583241455,NA
"62","0500000US12021","Collier County, Florida",0.370569231347168,372678,140578,76025,0.0213640098603122,NA
"63","0500000US12023","Columbia County, Florida",0.274546779239703,69999,25240,47094,0.0376068376068376,NA
"64","0500000US12031","Duval County, Florida",0.468309570086563,937933,368668,58415,0.0419370153505301,0.00490583953157145
"65","0500000US12033","Escambia County, Florida",0.35553824593215,313249,120618,53136,0.00998573466476462,NA
"66","0500000US12035","Flagler County, Florida",0.249574996136328,109999,44464,60204,0.0323741007194245,NA
"67","0500000US12053","Hernando County, Florida",0.218688405176108,186704,78755,51031,0.00757575757575758,NA
"68","0500000US12055","Highlands County, Florida",0.3285252089512,103852,43351,48698,0.0288784419073203,NA
"69","0500000US12057","Hillsborough County, Florida",0.510034091801146,1426736,541584,61154,0.0164032209961229,0.00167014613778706
"70","0500000US12061","Indian River County, Florida",0.245382226515648,154241,63917,59782,0.0172512938470385,NA
"71","0500000US12069","Lake County, Florida",0.298243938025429,345432,139192,57588,0.0214435146443515,NA
"72","0500000US12071","Lee County, Florida",0.325312162162162,740000,286887,62240,0.010439235769155,0.00137876698837896
"73","0500000US12073","Leon County, Florida",0.433141443128899,290965,116283,54929,0.0217669654289373,NA
"74","0500000US12081","Manatee County, Florida",0.286568821237542,385506,145171,64499,0.00608108108108108,0.00202702702702703
"75","0500000US12083","Marion County, Florida",0.293536801768274,353339,145622,49576,0.031055900621118,NA
"76","0500000US12085","Martin County, Florida",0.215997395132153,159701,65014,70842,0.0175438596491228,NA
"77","0500000US12086","Miami-Dade County, Florida",0.866753154375031,2713295,912805,55171,0.0124392262335782,0.00157753180924796
"78","0500000US12087","Monroe County, Florida",0.33661075010133,76483,32839,68589,NA,NA
"79","0500000US12089","Nassau County, Florida",0.129020198974977,82925,35212,70939,0.0397727272727273,NA
"80","0500000US12091","Okaloosa County, Florida",0.262087301821327,203478,76097,64222,0.0137551581843191,NA
"81","0500000US12095","Orange County, Florida",0.595674821763215,1355921,457949,63461,0.0165052027269465,NA
"82","0500000US12097","Osceola County, Florida",0.679851140904296,353623,111539,51760,0.0083210964268233,NA
"83","0500000US12099","Palm Beach County, Florida",0.451563715701904,1470344,568915,66623,0.0143465045592705,0.00139817629179331
"84","0500000US12101","Pasco County, Florida",0.251720966369032,525141,212856,55828,0.018640350877193,0.00219298245614035
"85","0500000US12103","Pinellas County, Florida",0.257840987833831,968341,395286,56737,0.0188314823756639,0.00193143408981169
"86","0500000US12105","Polk County, Florida",0.407171038040877,685368,238629,51833,0.0239963779052219,0.00196196800482946
