"","id","county","non_wa_percentage","tot_pop","median_HH_income","five_mg_percentage","ten_mg_percentage","score"
"47","0500000US39099","Mahoning County, Ohio",0.239078118812312,229791,47170,0.0311862430778199,0.0122413290585835,0.0599603604950286
"48","0500000US42133","York County, Pennsylvania",0.164501979869086,445484,69172,0.0620306888671237,0.0179562520404832,0.0596728852678475
"49","0500000US42055","Franklin County, Pennsylvania",0.119131212105509,154376,62484,0.07543391188251,0.014018691588785,0.0593897351740849
"50","0500000US44007","Providence County, Rhode Island",0.383673694668286,634130,62994,0.0400046720784909,0.0089937510950184,0.0592514203023285
"51","0500000US42037","Columbia County, Pennsylvania",0.0671840929537518,65581,54570,0.0635359116022099,0.0276243093922652,0.0586255199768109
"52","0500000US17115","Macon County, Illinois",0.236188199129024,105399,50839,0.0283062645011601,0.0139211136890951,0.0557721955132612
"53","0500000US29187","St. Francois County, Missouri",0.0827458979512253,66674,42390,0.0540123456790123,0.0123456790123457,0.0554948315711108
"54","0500000US42081","Lycoming County, Pennsylvania",0.0924200961302319,114012,53881,0.0586145648312611,0.0177619893428064,0.0551902781287591
"55","0500000US40109","Oklahoma County, Oklahoma",0.438923859004565,786068,56235,0.0295566502463054,0.00766283524904215,0.0549427948288018
"56","0500000US12107","Putnam County, Florida",0.285034884988553,73384,42899,0.0422764227642276,0,0.0546698168358509
"57","0500000US17099","LaSalle County, Illinois",0.145125978362008,109622,59130,0.0443121693121693,0.0178571428571429,0.0535729828460815
"58","0500000US20177","Shawnee County, Kansas",0.25973850923305,178056,59441,0.0442086648983201,0.00795755968169761,0.0535643599468453
"59","0500000US17183","Vermilion County, Illinois",0.217997399889302,77689,43111,0.0280296784830998,0.0090684253915911,0.0519532036956204
"60","0500000US36111","Ulster County, New York",0.206476894225656,178635,64087,0.0436662343277129,0.0134025075659317,0.0519188789378952
"61","0500000US22017","Caddo Parish, Louisiana",0.550978917193567,245935,45537,0.0137090632140137,0.00837776085300838,0.0515995468332742
"62","0500000US39061","Hamilton County, Ohio",0.346552931206013,814170,60198,0.0312081761771505,0.00955104027253924,0.0511218788072653
"63","0500000US22105","Tangipahoa Parish, Louisiana",0.368363391838493,132353,47825,0.0384615384615385,0,0.0507174549719678
"64","0500000US18141","St. Joseph County, Indiana",0.27177595840878,270057,53456,0.0294934073560028,0.0100624566273421,0.0502803935173534
"65","0500000US29095","Jackson County, Missouri",0.37545267536873,698072,57936,0.0285968171904031,0.0083205428548348,0.0497140455173442
"66","0500000US40143","Tulsa County, Oklahoma",0.379237265193669,646437,57483,0.0267131242740999,0.00871080139372822,0.0491296952188761
"67","0500000US19193","Woodbury County, Iowa",0.268055065993029,102132,58945,0.0290344361917623,0.012153950033761,0.0486838166101243
"68","0500000US39003","Allen County, Ohio",0.192234196308188,103093,60429,0.0421686746987952,0.0111876075731497,0.0486600553274938
"69","0500000US26121","Muskegon County, Michigan",0.236908635434363,173645,50366,0.0256663376110563,0.0113524185587364,0.0485721319904015
"70","0500000US17201","Winnebago County, Illinois",0.307684741868969,284681,59455,0.0323184215002551,0.00850484776322504,0.047819681768873
"71","0500000US36013","Chautauqua County, New York",0.124240488580064,128372,50272,0.0390893470790378,0.0128865979381443,0.0472549089386414
"72","0500000US39007","Ashtabula County, Ohio",0.104615951221508,97748,44580,0.0437810945273632,0.00895522388059702,0.0465084713284762
"73","0500000US36007","Broome County, New York",0.166183324702227,193100,52010,0.032829214312062,0.0118037624492807,0.0459638425685473
"74","0500000US42085","Mercer County, Pennsylvania",0.0984722757977268,111473,54543,0.0526881720430108,0.0118279569892473,0.0456395037419126
"75","0500000US36083","Rensselaer County, New York",0.167192211055276,159200,71574,0.0435643564356436,0.0166336633663366,0.0456079578319242
"76","0500000US42111","Somerset County, Pennsylvania",0.0569893052450096,74242,48895,0.06,0.0145454545454545,0.0451973704579749
"77","0500000US09009","New Haven County, Connecticut",0.368590774912911,857748,69751,0.031437125748503,0.00883233532934132,0.0444085630779247
"78","0500000US36009","Cattaraugus County, New York",0.0941613973255935,77176,50912,0.0479256080114449,0.011444921316166,0.0443498198349961
"79","0500000US42003","Allegheny County, Pennsylvania",0.213283546737631,1220141,64871,0.0404185988219075,0.00952500313322471,0.0439909543101584
"80","0500000US34017","Hudson County, New Jersey",0.710749881841665,672826,78808,0.0247433819556996,0.00740140464613722,0.0439582405929547
"81","0500000US40119","Payne County, Oklahoma",0.230307173902427,81908,41272,0.0363636363636364,0,0.0439352469406722
"82","0500000US42005","Armstrong County, Pennsylvania",0.0290797229925293,65991,57636,0.104143337066069,0.019036954087346,0.0437221096765917
"83","0500000US12023","Columbia County, Florida",0.274546779239703,69999,47094,0.0376068376068376,0,0.043476738715578
"84","0500000US36055","Monroe County, New York",0.293522223598537,742724,62103,0.0315065280275193,0.00820889688061919,0.0434421626458545
"85","0500000US34021","Mercer County, New Jersey",0.502181069511745,368168,79492,0.0336455081512314,0.00624349635796046,0.0427327941441573
"86","0500000US17161","Rock Island County, Illinois",0.281725394220875,143828,58313,0.022674687644609,0.011105969458584,0.0424533657644509
"87","0500000US19113","Linn County, Iowa",0.139763525107073,224379,63559,0.0607718894009217,0.00432027649769585,0.0424233285767987
"88","0500000US23001","Androscoggin County, Maine",0.093911488933789,107399,63813,0.0514563106796116,0.016504854368932,0.0421482721919346
"89","0500000US42033","Clearfield County, Pennsylvania",0.0689357009486334,79799,45643,0.0487804878048781,0.010840108401084,0.0421155469646043
"90","0500000US36093","Schenectady County, New York",0.260312843384397,154710,65773,0.0333450333450333,0.00877500877500877,0.0410226061280331
"91","0500000US36045","Jefferson County, New York",0.184425179175835,113157,53917,0.030775379696243,0.00919264588329336,0.0406864446327973
"92","0500000US34031","Passaic County, New Jersey",0.584841059313801,504402,77040,0.0283297806504848,0.00550092828164753,0.0405688059513672
"93","0500000US18035","Delaware County, Indiana",0.131084809884942,115246,45065,0.0284301606922126,0.00988875154511743,0.0402439352550786
